Url,Tender Title,Reference No,Closing Date,Bid Opening Date
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SZIawO87agrW6xdXl79avuA%3D%3D, URBAN CLUSTER COPPER CABLE MTCE CHTD ,URBAN CHTD /22-23/1/01.06.2023,2023-06-22 14:30:00,2023-06-23 14:30:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S5PYae5QcAu1BGrToyRnrwg%3D%3D, Renovation of Electrical Installations including wiring and allied works for accommodation of WB NUJS on rent out in 2nd floor at Administrative Building Salt Lake Main T Ex Campus Kolkata,43/BSNL/ED-III/Kol/NIT/23-24,2023-06-07 15:00:00,2023-06-09 16:00:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SSU37T4mGBQXDcQyG%2FxDdag%3D%3D," Supply, Erection and Commissioning of Fiber Optic Cable and accessories for providing Intranet facility in WCTP and FOS Site Offices",22-23/C-025/NIT-1297,2023-07-06 12:00:00,2023-07-07 12:15:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S%2BZPPWCmB0BGpjFPzenuYFw%3D%3D, Procurement of 10 PIN CONNECTOR FEMALE TYPE WITH TWO 05 PIN,C-2(b)/RC/302/15652/2023,2023-06-07 14:30:00,2023-06-07 15:00:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SpHU%2FJ9viehpL6eTlodi%2F7A%3D%3D, SUPPLY OF MEDICINES,TMS/CMM/TAPS1N2/64254,2023-06-22 11:00:00,2023-06-23 11:30:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S%2FhUFS7poDi0fGNB5A4m5iw%3D%3D, OFC Construction work PGT,KRLCO-18/1/2023-NWO- CFA /PGT,2023-06-21 10:00:00,2023-06-22 14:30:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S%2BpI8fRNUj1MVvFwLg%2Butxg%3D%3D, VENTILATION FAN,1/PE230382/1,2023-07-03 11:30:00,2023-07-04 15:30:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SJtSH7ISoxmaprKa2v%2FOVrw%3D%3D, SUPPLY OF MEDICINES,TMS/CMM/TAPS1N2/64256,2023-06-22 11:00:00,2023-06-23 11:30:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SNrt3CpvleqvzxuBUB91bog%3D%3D, FORCED DRAFT FAN WITH MOTOR,1/PE230343/8,2023-07-03 11:30:00,2023-07-04 15:30:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SYrnX4yQ%2F0GtDh9HjVZbZZA%3D%3D, Repair of SMPS Power plant modules and its related Control  supervisory panels in  Srikakulam BA,MM/Tender/Repair of SMPS PP Modules/2023-24/1,2023-06-14 14:00:00,2023-06-15 15:00:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=S2D1T1kfdCVvl2DuPho90lw%3D%3D, CORRIGENDUM II,NHAI/PC/Chandikhol Paradip/Package-4/2023,2023-06-14 11:00:00,2023-06-15 11:30:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=STSd1%2BUjvgQyyTeA9SPHktw%3D%3D, Extension Date,C-2(b)/RC/302/15622/2023,2023-06-03 14:30:00,2023-06-03 15:00:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=Sz7zdxh9JsW8EnKSG7s7SdA%3D%3D, Amendment no   5,HITES/PCD/NCI-AIIMS/51/22-23,2023-06-21 14:00:00,2023-06-22 14:30:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=SSKNXItbSMa6owSxa65bycA%3D%3D, Bid Auto Extn Corrigendum,RITES/Ins/HBA/12/2023,2023-06-07 14:00:00,2023-06-08 14:30:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=SziNBj5J1V29rk4XoZfkV%2Fw%3D%3D, Bid Auto Extn Corrigendum,HITES/PCD/NCI-AIIMS/51/22-23,2023-06-21 14:00:00,2023-06-22 14:30:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=SCtfGhp6hBx9hDd8H97Lzuw%3D%3D, DATES EXTENSION,HCL/MandC/MCP/MV/2022-23/01,2023-06-15 15:00:00,2023-06-16 15:30:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=Spt0yXr%2BdY07T77kwcKxo3Q%3D%3D, Corrigendum 2,TCIL/DT/ITandT-IV /NTPC-Aadhar/I/2023,2023-06-08 16:00:00,2023-06-08 17:00:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=SL6W4G887eeqKc9ZukzHwZQ%3D%3D, Bid Auto Extn Corrigendum,PUR/HMB/23/965628/MW-6376,2023-06-06 13:00:00,2023-06-07 15:00:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=SDMlhGDsNiwUiscc1tGXTPQ%3D%3D, Bid Auto Extn Corrigendum,HLL/AFT/MTLS/PVC SCRAP/2023-24,2023-06-08 13:00:00,2023-06-09 14:30:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=S77gkZ2l1XO%2BQ6MJqGgw07g%3D%3D, CORRIGENDUM-II,C-2(b)/RC/0500/0243/2023,2023-06-07 14:45:00,2023-06-07 15:00:00
