Url,Tender Title,Reference No,Closing Date,Bid Opening Date
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=Stm3%2BOdKqgqARNREtoJw%2Bhg%3D%3D, Tender for Comprehensive AMC and Link Maintenance support for the 18 ILL circuits working for GCC,EBCHTD/2023/0011/ GCC/ AMC/ ILL,2023-06-23 10:00:00,2023-06-24 11:00:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S9pkuuTfi1x2GmNXIVLqlLg%3D%3D," R and M Works of 04 Nos Substations (Ramkanali, Purulia, ASP and Kalipahari) of DVC in the state of West Bengal",DVC/T/HQ/SPE/CMM/WS/00057/Cap,2023-07-14 12:00:00,2023-07-17 12:30:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S2jyQcUWU1ZGLS9tBJA4hDA%3D%3D, Maintenance of residential qtrs,DVC/Tender/MAITHON/Maithon Division00206,2023-07-14 12:00:00,2023-07-17 12:00:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SBykYF0CP56OWe473CI8rgg%3D%3D, 24/EE/BCD-II/AB/ND/2023-24         ,24/EE/BCD-II/AB/ND/2023-24         ,2023-06-22 18:00:00,2023-06-24 13:00:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=Smmxbz8BlJFvfWdBNk6xZzA%3D%3D, Comprehensive maintenance of Window Split AC units AFD system and operation monitoring and general maintenance of different electro mechanical services at Ballygunge Place TE Building CTD Kolkata,47/BSNL/ED-III/KOL/NIT/23-24,2023-06-21 15:00:00,2023-06-22 15:00:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SVHvI4gztMi40niY26goqgA%3D%3D, Tender for hardware AMC and Link Maintenance for MPLSVPN circuits of Registration Department,EBCHTD/2023/ 0009/ IGR/ AMC/MPLSVPN,2023-06-23 10:00:00,2023-06-24 11:00:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S9UcnHH6OerUJKu4h8cTrqg%3D%3D," Supply of Cement Bag OPC 43 grade( Make ACC, Ultratech, Birla Uttam)",0907/0444/2023,2023-06-29 14:30:00,2023-06-29 15:00:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SLFaDTF3GeJyDG1MMwyjyyg%3D%3D, Comprehensive maintenance of PAC units AFD system and operation monitoring and general maintenance of different electro mechanical services at Harinavi TE Building CTD Kolkata,48/BSNL/ED-III/KOL/NIT/23-24,2023-06-21 15:00:00,2023-06-22 15:00:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SwpPqJc0Q235D5dak6hgjHw%3D%3D, Tender for hardware AMC and Link Maintenance for ILL circuits of Registration Department,EBCHTD/2023/0010/ IGR/ AMC/ ILL,2023-06-23 10:00:00,2023-06-24 11:00:00
/eprocure/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SNSJku1%2BcPucl4CUdbUsUgg%3D%3D, Replacement of faulty fire fighting system of Technical Block at Kishangarh Airport,AAI/KSG/ENGG-E/ NIT-03/2023-24,2023-07-07 15:00:00,2023-07-10 11:00:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=S5n%2BjhL0LQZ1Zp5l6jx9exQ%3D%3D, Corrigendum XV,NHAI/KNT/AP-KN Border/KN-TS Border/Mainwork/ 2022/,2023-07-24 11:00:00,2023-07-25 11:30:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=SVlmSFuVjLgudTEE9nvzypA%3D%3D, REVISED SCHEDULE OF QUANTITY,009/2023-24/EE/CD/ALT/GZB,2023-06-23 18:00:00,2023-06-27 15:30:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=Sc7zRBIzBzivnJ3M3PHZFBw%3D%3D, Corrigendum_I,2023/AAI/HSR/CARental,2023-06-30 12:00:00,2023-07-01 12:00:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=S9LlHULMr2%2BO5pEtcRwQNkw%3D%3D, Corrigendum_III,2023/AAI/HSR/PBT,2023-06-19 12:00:00,2023-06-20 12:00:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=Szl%2B66f0rZNxpLWiaDhxXHQ%3D%3D, Corrigendum_III,2023/AAI/HSR/SHA/Retail,2023-06-19 12:00:00,2023-06-20 12:00:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=SRrEPgtPAZ3Y2Fa8h%2BmKDxA%3D%3D, Corrigendum_III,AAI/HSR/SB/Out,2023-06-19 12:00:00,2023-06-20 12:00:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=SU%2F2D7E7JkPERTPWwxnKG2g%3D%3D, Corrigendum_III,2023/HSR/SB/SHA,2023-06-19 12:00:00,2023-06-20 12:00:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=S8UkIfousSP5xSnEHjIdhjQ%3D%3D, Corrigendum_II,2023/AAI/HSR/PBT,2023-06-19 12:00:00,2023-06-20 12:00:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=SgZ%2B6oQZs27bz2J3spL%2F8uA%3D%3D, Corrigendum01,DVC/Tend/HQ/Engg/CMM/W and S/00036/REV1,2023-06-23 14:30:00,2023-06-26 15:00:00
/eprocure/app?component=%24DirectLink_0&page=Home&service=direct&session=T&sp=SuGQ%2BAXMzOZ%2F3ls9XVGc6LQ%3D%3D, Extension of time,ASCO-21/12(13)/5/2022-GMTD SCR PLG ADMN   ,2023-06-22 14:00:00,2023-06-23 15:30:00
